,remito,tipo
367,7647,asentamiento
368,7673,fisuracion
369,7677,fisuracion
370,7706,fisuracion
371,7708,fisuracion
372,7782,resistencia
373,7784,fisuracion
374,7825,demoras
375,7832,asentamiento
376,7843,fragüe
377,7848,asentamiento
378,7867,fisuracion
379,7903,demoras
380,7909,demoras
381,7919,volumen
382,7921,asentamiento
383,7929,fragüe
384,7938,asentamiento
385,7943,fisuracion
386,7957,asentamiento
387,7966,fisuracion
388,8029,fragüe
389,8048,fragüe
390,8055,fisuracion
391,8058,asentamiento
392,8069,asentamiento
393,8070,resistencia
394,8071,asentamiento
395,8100,fisuracion
396,8108,volumen
397,8185,fisuracion
398,8202,volumen
399,8225,fisuracion
400,8234,fisuracion
401,8257,fisuracion
402,8259,fisuracion
403,8263,fisuracion
404,8284,resistencia
405,8286,fisuracion
406,8365,asentamiento
407,8380,asentamiento
408,8408,demoras
409,8450,asentamiento
410,8486,volumen
411,8501,asentamiento
412,8527,asentamiento
413,8555,asentamiento
414,8583,fragüe
415,8604,resistencia
416,8612,fisuracion
417,8646,asentamiento
418,8671,asentamiento
419,8691,demoras
420,8702,resistencia
421,8718,fragüe
422,8762,fisuracion
423,8765,demoras
424,8777,asentamiento
425,8808,fisuracion
426,8818,formula
427,8845,asentamiento
428,8853,asentamiento
429,8888,fisuracion
430,8895,resistencia
431,8900,fragüe
432,8954,formula
433,8955,fisuracion
434,8960,fisuracion
435,9092,asentamiento
436,9099,fisuracion
437,9172,asentamiento
438,9204,fisuracion
439,9209,formula
440,9225,asentamiento
441,9261,fisuracion
442,9279,resistencia
443,9281,fisuracion
444,9305,asentamiento
445,9326,demoras
446,9334,fisuracion
447,9342,fisuracion
448,9355,asentamiento
449,9375,asentamiento
450,9417,demoras
451,9447,asentamiento
452,9462,fragüe
453,9476,fisuracion
454,9477,fisuracion
455,9496,asentamiento
456,9523,demoras
457,9548,resistencia
458,9617,fisuracion
459,9652,resistencia
460,9656,resistencia
461,9661,asentamiento
462,9670,asentamiento
463,9691,demoras
464,9722,fisuracion
465,9737,formula
466,9738,resistencia
467,9751,resistencia
468,9755,fisuracion
469,9770,asentamiento
470,9789,asentamiento
471,9806,asentamiento
472,9833,asentamiento
473,9840,volumen
474,9846,fisuracion
475,9883,volumen
476,9895,volumen
477,9918,resistencia
478,9925,demoras
479,9926,asentamiento
480,9935,fisuracion
481,9944,resistencia
482,9947,fisuracion
483,9961,fisuracion
484,9974,asentamiento
485,9995,volumen
486,9998,fisuracion
487,10027,asentamiento
488,10030,asentamiento
489,10031,fragüe
490,10033,asentamiento
491,10059,asentamiento
492,10093,fisuracion
493,10097,fisuracion
494,10109,fisuracion
495,10126,demoras
496,10128,fisuracion
497,10172,demoras
498,10189,fisuracion
499,10215,formula
500,10222,resistencia
501,10228,volumen
502,10230,asentamiento
503,10232,asentamiento
504,10235,volumen
505,10265,formula
506,10319,asentamiento
507,10355,demoras
508,10357,volumen
509,10370,fisuracion
510,10377,demoras
511,10409,fisuracion
512,10429,demoras
513,10458,demoras
514,10460,fisuracion
515,10503,fragüe
516,10529,asentamiento
517,10558,formula
518,10559,asentamiento
519,10577,demoras
520,10590,fisuracion
521,10606,demoras
522,10608,fisuracion
523,10623,demoras
524,10625,volumen
525,10636,fisuracion
526,10647,demoras
527,10656,fisuracion
528,10681,volumen
529,10696,asentamiento
530,10701,asentamiento
531,10716,fisuracion
532,10748,fragüe
533,10749,demoras
534,10767,resistencia
535,10778,fisuracion
536,10787,formula
537,10795,fragüe
538,10800,asentamiento
539,10838,demoras
540,10860,volumen
541,10867,asentamiento
542,10914,asentamiento
543,10921,asentamiento
544,10957,asentamiento
545,10965,asentamiento
546,10986,asentamiento
547,11010,asentamiento
548,11016,asentamiento
549,11020,volumen
550,11021,resistencia
551,11115,fisuracion
552,11136,asentamiento
553,11146,asentamiento
554,11150,demoras
555,11153,formula
556,11155,resistencia
557,11253,fragüe
558,11254,demoras
559,11277,fisuracion
560,11285,asentamiento
561,11327,fisuracion
562,11344,fisuracion
563,11369,fisuracion
564,11391,asentamiento
565,11392,resistencia
566,11403,fisuracion
567,11520,fisuracion
568,11534,demoras
569,11537,resistencia
570,11576,asentamiento
571,11613,asentamiento
572,11614,asentamiento
573,11650,asentamiento
574,11672,asentamiento
575,11673,fisuracion
576,11674,asentamiento
577,11688,asentamiento
578,11722,demoras
579,11736,fisuracion
580,11740,resistencia
581,11748,asentamiento
582,11811,fisuracion
583,11841,asentamiento
584,11858,volumen
585,11898,fisuracion
586,11917,asentamiento
587,11919,resistencia
588,11920,fisuracion
589,11944,asentamiento
590,11958,formula
591,11964,asentamiento
592,11993,volumen
593,12007,volumen
594,12018,formula
595,12035,resistencia
596,12073,volumen
597,12086,fisuracion
598,12173,asentamiento
599,12189,fisuracion
600,12192,volumen
601,12198,asentamiento
602,12210,asentamiento
603,12217,asentamiento
604,12254,asentamiento
605,12269,fisuracion
606,12273,demoras
607,12285,fisuracion
608,12288,demoras
609,12297,fisuracion
610,12339,fisuracion
611,12356,asentamiento
612,12378,resistencia
613,12419,fragüe
614,12423,asentamiento
615,12424,asentamiento
616,12430,resistencia
617,12558,demoras
618,12562,formula
619,12567,fisuracion
620,12579,formula
621,12590,fisuracion
622,12602,resistencia
623,12640,asentamiento
624,12647,resistencia
625,12663,fisuracion
626,12686,resistencia
627,12735,volumen
628,12738,demoras
629,12758,asentamiento
630,12779,asentamiento
631,12787,volumen
632,12811,volumen
633,12816,asentamiento
634,12832,fisuracion
635,12854,demoras
636,12874,demoras
637,12885,asentamiento
638,12927,resistencia
639,12933,asentamiento
640,12953,volumen
641,12965,demoras
642,12971,demoras
643,12975,formula
644,13029,fisuracion
645,13037,asentamiento
646,13045,fisuracion
647,13106,resistencia
648,13127,volumen
649,13132,formula
650,13136,asentamiento
651,13161,volumen
652,13188,fisuracion
653,13191,resistencia
654,13211,asentamiento
655,13239,demoras
656,13287,asentamiento
657,13335,volumen
658,13369,resistencia
659,13377,fisuracion
660,13400,asentamiento
661,13414,asentamiento
662,13419,fisuracion
663,13424,demoras
664,13426,fisuracion
665,13468,asentamiento
666,13521,demoras
667,13522,fisuracion
668,13536,fisuracion
669,13547,fisuracion
670,13613,asentamiento
671,13616,fisuracion
672,13633,resistencia
673,13641,demoras
674,13648,demoras
675,13661,asentamiento
676,13671,fisuracion
677,13694,asentamiento
678,13697,asentamiento
679,13723,fisuracion
680,13742,fragüe
681,13776,volumen
682,13784,volumen
683,13793,volumen
684,13834,fisuracion
685,13870,volumen
686,13886,fisuracion
687,13915,fisuracion
688,13929,asentamiento
689,13952,asentamiento
690,13978,formula
691,13982,fisuracion
692,13984,asentamiento
693,13989,fisuracion
694,14030,resistencia
695,14033,fisuracion
696,14036,demoras
697,14096,asentamiento
698,14132,fisuracion
699,14149,asentamiento
700,14153,fisuracion
701,14163,fisuracion
702,14224,fragüe
703,14240,fisuracion
704,14261,fisuracion
705,14266,volumen
706,14307,resistencia
707,14333,demoras
708,14343,volumen
709,14365,resistencia
710,14400,fisuracion
711,14452,fisuracion
712,14498,demoras
713,14504,demoras
714,14509,asentamiento
715,14514,fragüe
716,14527,fisuracion
717,14539,volumen
718,14544,fisuracion
719,14559,demoras
720,14568,formula
721,14611,resistencia
722,14624,fisuracion
723,14631,asentamiento
724,14654,resistencia
725,14660,asentamiento
726,14689,fisuracion
727,14696,asentamiento
728,14771,asentamiento
729,14776,resistencia
730,14779,asentamiento
731,14805,asentamiento
732,14806,resistencia
733,14844,demoras
734,14849,fisuracion
735,14862,demoras
736,14878,demoras
737,14900,demoras
738,14932,asentamiento
739,14940,asentamiento
740,14951,asentamiento
741,14960,fisuracion
742,15017,asentamiento
743,15018,asentamiento
744,15025,formula
745,15032,formula
746,15062,asentamiento
747,15095,asentamiento
748,15124,demoras
749,15157,fisuracion
750,15162,asentamiento
751,15179,fisuracion
752,15193,demoras
753,15219,resistencia
754,15236,volumen
755,15278,asentamiento
756,15296,asentamiento
757,15326,asentamiento
758,15327,fisuracion
759,15328,fisuracion
760,15350,fisuracion
761,15363,fragüe
762,15371,asentamiento
763,15385,asentamiento
764,15390,formula
765,15391,demoras
766,15393,fragüe
767,15428,fisuracion
768,15468,volumen
769,15472,fisuracion
770,15505,volumen
771,15515,fisuracion
772,15532,asentamiento
773,15552,fisuracion
774,15560,volumen
775,15566,fisuracion
776,15574,demoras
777,15726,demoras
778,15727,asentamiento
779,15728,fisuracion
780,15741,demoras
781,15748,fisuracion
782,15764,fragüe
783,15819,volumen
784,15831,demoras
785,15839,formula
786,15867,asentamiento
787,15922,asentamiento
788,15945,asentamiento
789,15955,asentamiento
790,15982,fisuracion
791,16004,fisuracion
792,16010,fisuracion
793,16012,demoras
794,16013,resistencia
795,16015,fisuracion
796,16069,fisuracion
797,16128,resistencia
798,16179,fragüe
799,16186,asentamiento
800,16190,volumen
801,16223,fisuracion
802,16362,fisuracion
803,16375,formula
804,16377,demoras
805,16401,volumen
806,16410,asentamiento
807,16423,asentamiento
808,16452,fisuracion
809,16467,asentamiento
810,16471,formula
811,16481,asentamiento
812,16504,fisuracion
813,16593,resistencia
814,16598,asentamiento
815,16696,fisuracion
816,16704,fisuracion
817,16734,fisuracion
818,16768,demoras
819,16796,resistencia
820,16804,fisuracion
821,16808,fisuracion
822,16823,asentamiento
823,16840,formula
824,16849,asentamiento
825,16853,fisuracion
826,16865,fisuracion
827,16891,asentamiento
828,16902,resistencia
829,16914,fisuracion
830,16932,asentamiento
831,16961,asentamiento
832,17023,fisuracion
833,17031,asentamiento
834,17064,asentamiento
835,17076,volumen
836,17099,asentamiento
837,17130,fisuracion
838,17143,fragüe
839,17157,resistencia
840,17174,fisuracion
841,17217,volumen
842,17233,demoras
843,17252,asentamiento
844,17271,asentamiento
845,17300,fisuracion
846,17317,fragüe
847,17324,formula
848,17369,demoras
849,17441,fragüe
850,17443,formula
851,17451,resistencia
852,17457,fisuracion
853,17460,fisuracion
854,17473,demoras
855,17477,resistencia
856,17504,asentamiento
857,17507,volumen
858,17508,fisuracion
859,17519,asentamiento
860,17521,fisuracion
861,17582,volumen
862,17630,demoras
863,17644,volumen
864,17656,asentamiento
865,17670,fragüe
866,17704,asentamiento
867,17730,volumen
868,17789,fragüe
869,17803,fisuracion
870,17812,resistencia
871,17830,resistencia
872,17839,asentamiento
873,17850,fisuracion
874,17851,asentamiento
875,17853,asentamiento
876,17870,formula
877,17879,asentamiento
878,17896,asentamiento
879,17897,asentamiento
880,17901,fisuracion
881,17906,asentamiento
882,17933,fisuracion
883,17935,demoras
884,17944,volumen
885,17946,demoras
886,17961,fisuracion
887,17983,fisuracion
888,17991,formula
889,17995,asentamiento
890,18025,resistencia
891,18034,demoras
892,18148,asentamiento
893,18164,volumen
894,18179,demoras
895,18188,volumen
896,18190,asentamiento
897,18217,fragüe
898,18224,formula
899,18227,fisuracion
900,18275,asentamiento
901,18284,fragüe
902,18306,fisuracion
903,18360,asentamiento
904,18365,asentamiento
905,18382,asentamiento
906,18385,fragüe
907,18388,fisuracion
908,18400,asentamiento
909,18456,demoras
910,18523,asentamiento
911,18533,fisuracion
912,18568,asentamiento
913,18576,demoras
914,18605,resistencia
915,18607,fisuracion
916,18632,demoras
917,18646,formula
918,18648,fisuracion
919,18650,resistencia
920,18661,formula
921,18667,volumen
922,18684,resistencia
923,18690,asentamiento
924,18734,fisuracion
925,18778,formula
926,18790,volumen
927,18824,fisuracion
928,18832,asentamiento
929,18854,demoras
930,18862,asentamiento
931,18883,fragüe
932,18913,asentamiento
933,18925,formula
934,18928,fisuracion
935,18974,fisuracion
936,18995,fisuracion
937,19000,formula
938,19007,fragüe
939,19015,fragüe
940,19025,fisuracion
941,19048,asentamiento
942,19080,asentamiento
943,19127,fisuracion
944,19142,asentamiento
945,19195,fisuracion
946,19205,fisuracion
947,19269,resistencia
948,19301,volumen
949,19326,demoras
950,19329,fisuracion
951,19394,asentamiento
952,19397,fisuracion
953,19419,volumen
954,19456,fisuracion
955,19478,demoras
956,19483,asentamiento
957,19492,fragüe
958,19501,fisuracion
959,19506,resistencia
960,19519,asentamiento
961,19523,resistencia
962,19540,fisuracion
963,19571,fisuracion
964,19600,asentamiento
965,19630,asentamiento
966,19633,asentamiento
967,19736,asentamiento
968,19778,asentamiento
969,19781,resistencia
970,19783,fisuracion
971,19817,volumen
972,19844,demoras
973,19869,asentamiento
974,19952,asentamiento
975,19967,asentamiento
976,19985,asentamiento
977,19994,demoras
978,20005,fisuracion
979,20006,volumen
980,20011,fisuracion
981,20024,fragüe
982,20040,asentamiento
983,20080,asentamiento
984,20114,demoras
985,20126,asentamiento
986,20132,asentamiento
987,20135,asentamiento
988,20140,fisuracion
989,20155,demoras
990,20160,fragüe
991,20219,resistencia
992,20233,demoras
993,20258,demoras
994,20274,volumen
995,20299,volumen
996,20309,resistencia
997,20310,asentamiento
998,20332,demoras
999,20348,asentamiento
1000,20373,fisuracion
1001,20382,fragüe
1002,20398,fisuracion
1003,20463,demoras
1004,20471,demoras
1005,20490,fisuracion
1006,20531,formula
1007,20537,asentamiento
1008,20547,fisuracion
1009,20557,asentamiento
1010,20589,fragüe
1011,20593,resistencia
1012,20675,asentamiento
1013,20689,volumen
1014,20698,volumen
1015,20711,fisuracion
1016,20733,volumen
1017,20815,fisuracion
1018,20816,fisuracion
1019,20827,asentamiento
1020,20829,volumen
1021,20833,fisuracion
1022,20838,fisuracion
1023,20862,formula
1024,20887,fisuracion
1025,20904,asentamiento
1026,20915,fisuracion
1027,20928,formula
1028,20960,fisuracion
1029,20989,asentamiento
1030,20991,demoras
1031,20994,fisuracion
1032,20996,resistencia
1033,21006,volumen
1034,21032,fisuracion
1035,21041,asentamiento
1036,21062,asentamiento
1037,21066,fisuracion
1038,21080,demoras
1039,21088,volumen
1040,21089,formula
1041,21136,volumen
1042,21139,asentamiento
1043,21157,asentamiento
1044,21163,resistencia
1045,21187,demoras
1046,21189,asentamiento
1047,21209,demoras
1048,21215,asentamiento
1049,21251,fisuracion
1050,21252,demoras
1051,21253,volumen
1052,21286,asentamiento
1053,21326,formula
1054,21348,fisuracion
1055,21364,fisuracion
1056,21370,asentamiento
1057,21388,asentamiento
1058,21390,asentamiento
1059,21400,fisuracion
1060,21458,volumen
1061,21475,demoras
1062,21485,asentamiento
1063,21491,asentamiento
1064,21531,formula
1065,21536,volumen
1066,21553,fisuracion
1067,21598,fisuracion
1068,21616,fisuracion
1069,21618,volumen
1070,21663,demoras
1071,21699,fisuracion
1072,21728,fisuracion
1073,21758,fisuracion
1074,21772,resistencia
1075,21774,asentamiento
1076,21777,formula
1077,21784,resistencia
1078,21790,fragüe
1079,21812,fragüe
1080,21816,fragüe
1081,21841,fisuracion
1082,21858,asentamiento
1083,21867,volumen
1084,21882,formula
1085,21931,demoras
1086,21945,demoras
1087,21959,demoras
1088,22001,demoras
1089,22004,fisuracion
1090,22046,asentamiento
1091,22057,asentamiento
1092,22073,volumen
1093,22085,volumen
1094,22100,asentamiento
1095,22104,volumen
1096,22199,asentamiento
1097,22209,formula
1098,22218,demoras
1099,22232,fisuracion
1100,22255,demoras
1101,22259,fisuracion
1102,22260,demoras
1103,22283,demoras
1104,22288,resistencia
1105,22303,volumen
1106,22306,fisuracion
1107,22312,demoras
1108,22316,fisuracion
1109,22320,fisuracion
1110,22344,asentamiento
1111,22400,demoras
1112,22429,asentamiento
1113,22431,demoras
1114,22482,resistencia
1115,22489,asentamiento
1116,22496,demoras
1117,22499,asentamiento
1118,22539,demoras
1119,22565,fisuracion
1120,22570,asentamiento
1121,22593,asentamiento
1122,22617,fisuracion
1123,22627,fisuracion
1124,22628,asentamiento
1125,22633,volumen
1126,22644,asentamiento
1127,22654,asentamiento
1128,22657,asentamiento
1129,22660,demoras
1130,22705,asentamiento
1131,22714,resistencia
1132,22734,fisuracion
1133,22742,asentamiento
1134,22779,fisuracion
1135,22789,fisuracion
1136,22795,demoras
1137,22829,fisuracion
1138,22849,volumen
1139,22874,fisuracion
1140,22880,asentamiento
1141,22897,fisuracion
1142,22904,fisuracion
1143,22912,fisuracion
1144,22924,asentamiento
1145,22946,demoras
1146,22956,fisuracion
1147,22959,asentamiento
1148,22976,asentamiento
1149,23032,fisuracion
1150,23041,fisuracion
1151,23043,formula
1152,23082,asentamiento
1153,23089,fragüe
1154,23090,asentamiento
1155,23091,fragüe
1156,23122,demoras
1157,23154,volumen
1158,23158,asentamiento
1159,23161,demoras
1160,23186,asentamiento
1161,23216,fisuracion
1162,23252,fisuracion
1163,23270,asentamiento
1164,23289,resistencia
1165,23301,asentamiento
1166,23330,asentamiento
1167,23336,volumen
1168,23371,asentamiento
1169,23393,fisuracion
1170,23503,asentamiento
1171,23507,fragüe
1172,23542,asentamiento
1173,23553,asentamiento
1174,23594,fisuracion
1175,23669,asentamiento
1176,23679,asentamiento
1177,23681,volumen
1178,23685,asentamiento
1179,23691,asentamiento
1180,23704,fragüe
1181,23733,resistencia
1182,23792,fisuracion
1183,23799,fisuracion
1184,23801,fisuracion
1185,23928,asentamiento
1186,23938,asentamiento
1187,23952,demoras
1188,23962,asentamiento
1189,23985,formula
1190,23994,demoras
1191,23998,fisuracion
1192,24035,fragüe
1193,24038,asentamiento
1194,24047,demoras
1195,24063,asentamiento
1196,24078,fisuracion
1197,24082,asentamiento
1198,24101,asentamiento
1199,24113,fisuracion
1200,24141,demoras
1201,24200,volumen
1202,24203,asentamiento
1203,24208,asentamiento
1204,24209,fisuracion
1205,24227,fisuracion
1206,24232,volumen
1207,24239,fragüe
1208,24247,asentamiento
1209,24255,fisuracion
1210,24265,asentamiento
1211,24271,formula
1212,24272,fisuracion
1213,24287,demoras
1214,24336,resistencia
1215,24339,demoras
1216,24353,resistencia
1217,24380,asentamiento
1218,24407,volumen
1219,24427,asentamiento
1220,24434,volumen
1221,24435,asentamiento
1222,24459,volumen
1223,24463,asentamiento
1224,24478,asentamiento
1225,24509,resistencia
1226,24544,demoras
1227,24546,fisuracion
1228,24562,demoras
1229,24585,fisuracion
1230,24603,fragüe
1231,24682,fisuracion
1232,24703,volumen
1233,24712,asentamiento
1234,24713,asentamiento
1235,24714,fisuracion
1236,24716,demoras
1237,24722,fisuracion
1238,24725,demoras
1239,24726,fragüe
1240,24741,fisuracion
1241,24755,fragüe
1242,24757,fisuracion
1243,24761,formula
1244,24762,asentamiento
1245,24769,formula
1246,24773,fisuracion
1247,24782,fisuracion
1248,24803,volumen
1249,24821,fisuracion
1250,24828,volumen
1251,24853,asentamiento
1252,24875,demoras
1253,24918,asentamiento
1254,24921,asentamiento
1255,24927,fisuracion
1256,25003,fisuracion
1257,25009,demoras
1258,25018,fisuracion
1259,25044,fisuracion
1260,25046,asentamiento
1261,25077,fisuracion
1262,25115,asentamiento
1263,25133,fragüe
1264,25142,fisuracion
1265,25169,demoras
1266,25220,asentamiento
1267,25230,demoras
1268,25264,asentamiento
1269,25271,fisuracion
1270,25290,fisuracion
1271,25357,formula
1272,25359,asentamiento
1273,25362,fisuracion
1274,25414,resistencia
1275,25420,asentamiento
1276,25470,formula
1277,25482,asentamiento
1278,25484,demoras
1279,25504,volumen
1280,25507,resistencia
1281,25531,demoras
1282,25541,fisuracion
1283,25585,fisuracion
1284,25593,demoras
1285,25603,fisuracion
1286,25621,fisuracion
1287,25630,resistencia
1288,25636,resistencia
1289,25639,volumen
1290,25649,asentamiento
1291,25682,asentamiento
1292,25714,demoras
1293,25728,fisuracion
1294,25790,asentamiento
1295,25832,volumen
1296,25850,resistencia
1297,25854,fisuracion
1298,25859,asentamiento
1299,25876,volumen
1300,25909,asentamiento
1301,25924,asentamiento
1302,25932,demoras
1303,25938,formula
1304,25975,volumen
1305,25987,asentamiento
1306,26005,asentamiento
1307,26014,fisuracion
1308,26031,fisuracion
1309,26044,fisuracion
1310,26047,fisuracion
1311,26051,asentamiento
1312,26064,fisuracion
1313,26128,asentamiento
1314,26147,asentamiento
1315,26161,demoras
1316,26256,asentamiento
1317,26261,fragüe
1318,26265,demoras
1319,26271,fisuracion
1320,26295,volumen
1321,26333,demoras
1322,26374,demoras
1323,26382,fisuracion
1324,26420,fisuracion
1325,26477,demoras
1326,26487,fisuracion
1327,26517,fisuracion
1328,26539,asentamiento
1329,26544,fisuracion
